CustomerID,Age,EmploymentYears,CreditScore,AnnualIncome,LoanAmount,InterestRate,LoanTerm,ExistingLoans,DebtToIncomeRatio,CollateralValue,Risk,LoanToIncomeRatio,MonthlyIncome,EstimatedEMI,EMIBurden,CollateralCoverage,IncomePerLoan,CreditQuality
1,27,5,622,603493,1332907,7.78,120,0,0.39,4521243,0,2.2086536215001664,50291.083333333336,11107.558333333332,0.22086536215001662,3.392016847386952,603493.0,0.731764705882353
2,55,23,629,2400327,1483431,16.47,240,4,0.65,365487,1,0.6180120458587517,200027.25,6180.9625,0.030900602292937587,0.24637950804587475,480065.4,0.74
3,33,4,307,1315396,2256284,9.67,24,0,0.67,798840,1,1.7152887799567582,109616.33333333333,94011.83333333333,0.8576443899783791,0.35405117440889533,1315396.0,0.3611764705882353
4,23,1,554,1452517,4143397,11.57,60,4,0.24,1695354,1,2.8525635156077347,121043.08333333333,69056.61666666667,0.570512703121547,0.4091700602187046,290503.4,0.6517647058823529
5,41,2,605,1255180,4442093,8.98,180,4,0.87,63728,1,3.539008747749327,104598.33333333333,24678.294444444444,0.2359339165166218,0.014346390316456679,251036.0,0.711764705882353
6,31,2,447,487388,1215510,14.19,60,5,0.26,2250701,1,2.493926809851699,40615.666666666664,20258.5,0.4987853619703399,1.851651570122829,81231.33333333333,0.5258823529411765
7,43,9,842,1791702,4362398,16.74,60,4,0.52,4832028,1,2.434778774595329,149308.5,72706.63333333333,0.4869557549190658,1.107654093001143,358340.4,0.9905882352941177
8,51,22,723,1697166,4093955,14.92,180,1,0.63,4961378,0,2.412230153090505,141430.5,22744.194444444445,0.160815343539367,1.2118789776634087,848583.0,0.8505882352941176
9,23,0,552,1174074,4090951,7.13,48,3,0.62,1901319,1,3.484406434347409,97839.5,85228.14583333333,0.8711016085868523,0.4647621054370976,293518.5,0.6494117647058824
10,35,9,381,2780225,3141716,17.78,240,5,0.61,2534368,1,1.130022210432609,231685.41666666666,13090.483333333334,0.05650111052163045,0.8066827173430062,463370.8333333333,0.44823529411764707
